Ann_Mean,Mean_Diurnal_Range,Isotherm,Max_Temp,Min_Temp,Temp_Range,Ann_Precip,Precip_WetQ,Precip_DryQ,Precip_WarmQ,Precip_ColdQ,Mass,Length,Alt,Lat,Long
-1.1,10.9,2.5,20.3,-23.3,43.6,270,107,36,105,54,298,386,632,60.71666667,-135.05
-2.8,11.7,3,17.1,-21.8,38.9,468,168,68,160,107,25.5,324,1680,58.18805556,-129.8880556
11,12.5,4.8,26.8,0.8,26,1363,688,60,72,624,87.4,279,211,43.4113,-123.5741
11,12.5,4.8,26.8,0.8,26,1363,688,60,72,624,159.4,345,211,43.4113,-123.5741
11,12.5,4.8,26.8,0.8,26,1363,688,60,72,624,180,365,211,43.4113,-123.5741
11,12.5,4.8,26.8,0.8,26,1363,688,60,72,624,251.3,383,211,43.4113,-123.5741
11,12.5,4.8,26.8,0.8,26,1363,688,60,72,624,313.3,407,211,43.4113,-123.5741
-3.3,10.7,2.1,22.2,-28.4,50.6,423,194,56,194,56,260,354,173,61.003963,-123.380582
5.5,8.2,3.8,18.4,-3.1,21.5,2131,973,171,189,907,144.2,300,1365,47.7716,-123.067
5.5,8.2,3.8,18.4,-3.1,21.5,2131,973,171,189,907,237.1,304,1365,47.7716,-123.067
5.5,8.2,3.8,18.4,-3.1,21.5,2131,973,171,189,907,165.3,346,1365,47.7716,-123.067
5.5,8.2,3.8,18.4,-3.1,21.5,2131,973,171,189,907,196.6,354,1365,47.7716,-123.067
3.4,12.7,3.3,22.6,-15.8,38.4,356,138,51,138,77,220,360,889,51.968386,-122.52979
9.4,10.7,4.3,23.8,-0.7,24.5,1372,587,144,144,532,114,305,242,46.8675,-122.2653
10,10.8,4.3,24.4,-0.3,24.7,1112,471,122,122,426,197.2,360,38,47.1308,-122.2317
10,10.8,4.3,24.4,-0.3,24.7,1112,471,122,122,426,206.6,392,38,47.1308,-122.2317
7.5,12.3,4.2,25.1,-3.7,28.8,1950,929,126,126,855,134.9,299,1061,44.2072,-122.2021
11,8.9,3.9,24.1,1.5,22.6,998,450,96,96,407,192.7,361,47,47.6106,-122.1994
7.2,12.7,4.2,25.5,-4.5,30,1740,839,114,114,776,191,351,1106,44.22,-122.15
8.9,9.8,4,23,-1,24,1831,766,191,191,694,106.5,251,178,47.8881,-121.7413
4.4,11.7,4,22,-6.9,28.9,1621,767,123,124,715,140,301,1003,44.51035,-121.72019
3.1,9,3.3,18.3,-8.5,26.8,1440,640,157,171,588,187,324,1621,48.8375,-121.575
3.1,8.1,3.3,17.2,-6.8,24,2487,1159,193,211,1078,187.3,385,1145,46.9179191,-121.5526815
5.7,14.4,4.4,24.8,-7.4,32.2,1043,461,61,61,446,450,420,1860,40.44631,-121.409
5.7,14.4,4.4,24.8,-7.4,32.2,1043,461,61,61,446,310,365,1680,40.40637,-121.36086
5.7,14.9,4.4,25.3,-7.9,33.2,948,419,58,58,411,294.5,382,1582,40.41,-121.33
8.2,16.2,4.6,29,-5.6,34.6,250,102,34,45,94,297.5,357,850,44.33,-121.23
7.9,16.2,4.7,28.6,-5.7,34.3,280,108,38,49,95,299.4,367,941,44.48,-121.15
7.9,16.2,4.7,28.6,-5.7,34.3,280,108,38,49,95,455.4,420,941,44.48,-121.15
7.6,16.3,4.5,28.5,-7.6,36.1,407,152,41,48,142,250,359,1446,41.59954,-121.12742
3.7,8.9,3.2,19.4,-7.8,27.2,1570,749,129,135,694,260,380,1256,47.1166667,-121.0666667
4.6,10.2,3.4,21.5,-8.5,30,1141,529,122,122,480,211,330,484,48.9127967,-121.0661
4.6,10.2,3.4,21.5,-8.5,30,1141,529,122,122,480,211,355,696,48.948976,-121.0661
4.5,10,3.4,21.4,-8,29.4,1145,553,97,100,512,173,331,1213,47.13333333,-120.9666667
2.5,10.6,3.3,20,-11.3,31.3,912,406,119,119,372,228,346,1751,48.9127967,-120.9567171
4.6,10.2,3.4,21.6,-7.9,29.5,1047,507,90,90,469,191,378,957,46.905123,-120.9513899
6.2,16.6,4.4,27.6,-9.4,37,457,173,45,52,165,500,379,1660,40.84819,-120.77441
6.2,16.6,4.4,27.6,-9.4,37,457,173,45,52,165,340,374,1660,40.84853,-120.76834
6.2,16.6,4.4,27.6,-9.4,37,457,173,45,52,165,350,380,1660,40.84853,-120.76834
2.8,11,3.4,20.9,-11,31.9,1011,480,108,108,440,135.2,363,605,48.3441,-120.6971
5.9,16.6,4.4,27.5,-9.8,37.3,435,167,44,51,160,191,320,1701,40.80434,-120.61235
5.9,16.6,4.4,27.5,-9.8,37.3,435,167,44,51,160,198,330,1701,40.80434,-120.61235
5.9,16.6,4.4,27.5,-9.8,37.3,435,167,44,51,160,232,360,1701,40.80434,-120.61235
5.9,16.6,4.4,27.5,-9.8,37.3,435,167,44,51,160,332,376,1701,40.80434,-120.61235
