Museum ID,Category,Group,Prop_Red,Sex,Latitude,Longitude,Incisor_L,Incisor_W,Zincisor,Log_Incisor_BF,Incisor_BiteForce,Mass,LogMass,NasoFrontalRatio,PremaxillaRatio,MaxilloFrontalRatio,CoronalRatio,SaggitalRatio,BFQ
UWBM 15051,Red,Red Squirrel (Parental Range),1,M,48.6589,-117.425,3.507,1.342,2.750887293,1.680741603,47.94481015,,,2.374266843,2.50318558,1.258558374,2.897695523,1.923438377,
UWBM 15071,Doug,Douglas Squirrel (Parental Range),0,M,47.7625,-122.2042,2.844,1.199,1.616319144,1.550026348,35.4834916,,,3.752728131,3.189357243,1.459893062,2.483903753,1.537079815,
UWBM 15076,Doug,Douglas Squirrel (Parental Range),0,F,47.7625,-122.2042,3.185,1.153,1.949381904,1.596081663,39.45314808,,,4.066833531,2.966106451,1.247399819,3.23025596,1.765255279,
UWBM 20593,Doug,Douglas Squirrel (Parental Range),0,F,47.7575,-122.2428,3.262,1.207,2.140542885,1.619076546,41.59839229,246.5,2.391816924,3.060118528,2.769802709,1.260826933,2.743744741,,100.3381784
UWBM 20798,Doug,Douglas Squirrel (Hybrid Zone),,F,49.86103942,-121.4310002,2.81,1.047,1.37786945,1.510791768,32.41841431,225.9,2.353916231,1.72080492,2.161127343,1.292060147,3.211430618,1.028284233,80.8666423
UWBM 20799,Doug,Douglas Squirrel (Hybrid Zone),,F,49.86103942,-121.4310102,3.056,1.069,1.663922731,1.557161366,36.07126437,193,2.285557309,1.967266111,1.89198793,1.083484335,2.962529765,1.081009823,95.59834136
UWBM 20800,Doug,Douglas Squirrel (Hybrid Zone),,F,49.86605176,-121.4310202,2.681,1.057,1.266243896,1.490024829,30.90472109,204.2,2.310055738,2.166459456,1.892922212,1.192104231,2.811357956,1.36563966,80.1464656
UWBM 20805,Doug,Douglas Squirrel (Hybrid Zone),0.01,M,49.97092968,-121.454233,3.132,1.136,1.857250944,1.584180753,38.38669771,233.7,2.368658712,3.388073861,2.71709088,1.196624129,2.484389047,1.659224806,94.51136036
UWBM 20808,Doug,Douglas Squirrel (Hybrid Zone),0.01,M,49.97091968,-121.454133,2.991,1.177,1.75492289,1.57025005,37.17492062,256.9,2.409764104,3.608579186,2.309968112,1.311673259,2.907157404,1.541555756,88.25348135
UWBM 20809,Doug,Douglas Squirrel (Hybrid Zone),0.02,F,49.97083968,-121.454233,3.261,1.196,2.119734786,1.616675344,41.3690306,180.7,2.256958153,2.26635,2.392100885,1.402672721,2.65047451,1.046718282,112.4532862
UWBM 20930,Doug,Douglas Squirrel (Hybrid Zone),,F,49.1,-120.8,2.749,1.043,1.313658674,1.499061116,31.55448645,191.9,2.283074975,,,1.286330147,2.637417114,1.170435426,83.81187538
UWBM 20993,Red,Red Squirrel (Hybrid Zone),,M,49.86605176,-121.4301302,3.238,1.08,1.88723592,1.588117626,38.73625453,260.7,2.416141031,3.5477681,3.271980241,1.523056662,2.83597655,1.827709443,91.44183716
